district_name_en,Total_offers
Ad Dar Al Baida,184
Ad Dhubbat,8
Al Andalus,52
Al Aqiq,105
Al Aziziyah,186
Al Badi'ah,11
Al Bariah,2
Al Fayha,81
Al Fakhiriyah,2
Al Falah,108
Al Faruq,2
Al Ghadir,92
Al Hada,3
Al Hamra,141
Al Hazm,141
Al Iskan,31
Al Izdihar,40
Al Jazirah,86
Al Khalidiyah,22
Al Khaleej,326
Al Khuzama,44
Al Mathar Ash Shamali,7
Al Mahdiyah,11
Al Maizilah,63
Al Malaz,42
Al Malqa,82
Al Manar,24
Al Mansurah,43
Al Marwah,18
Al Masif,61
Al Mughrizat,58
Al Muhammadiyah,24
Al Murabba,4
Al Mursalat,25
Al Muruj,65
Al Mutamarat,4
Al Qadisiyah,222
Al Quds,49
Al Olaya,100
Al Uraija,75
Al Wadi,161
Al Wahah,44
Al Wizarat,2
Al Wisham,4
Al Wurud,36
Al Yamamah,3
Al Yarmuk,621
Al Yasmin,1643
An Nada,147
An Nafal,96
An Nahdah,246
An Nakhil,70
An Narjis,636
An Nasim,322
An Nadhim,96
An Nuzhah,63
Ar Rabi,167
Ar Rabwah,53
Ar Rafiah,33
Ar Rahmaniyah,14
Ar Raid,38
Ar Rawabi,79
Ar Rawdah,90
Ar Rayyan,44
As Saadah,173
As Safa,9
As Sahafah,415
As Salam,46
As Sulai,14
As Sulimaniyah,39
As Suwaidi,108
Ash Shifa,77
At Taawun,98
Az Zahrah,74
Badr,141
Hittin,93
Dhahrat Laban,1017
Alawali,152
Dirab,55
Ghirnatah,74
Ulaishah,3
Irqah,88
Ishbiliyah,481
Khashm Al An,2
King Abdul Aziz,95
King Abdullah,35
King Fahd,54
King Faisal,67
King Saud University,4
Laban,57
Namar,192
Qurtubah,527
Salah Ad Din,9
Shubra,55
Sultanah,20
Tuwaiq,2106
Uhud,64
Umm Al Hamam Al Gharbi,25
Ukaz,86
Utaiqah,2