district_name_en,2014,2015,2016
Ad Dar Al Baida,2865,2795,1679
Ad Dhubbat,4465,5146,3784
Al Andalus,3600,3720,3095
Al Aqiq,7222,6981,6063
Al Aziziyah,2705,3142,2220
Al Badi'ah,2084,1933,1532
Al Bariah,1033,1067,770
Al Fayha,4333,3790,2944
Al Fakhiriyah,2307,2200,995
Al Falah,6311,5649,5134
Al Faruq,2705,2961,2250
Al Ghadir,8904,8407,7912
Al Hada,4428,3785,3571
Al Hamra,5872,5985,5397
Al Hazm,3111,2751,2176
Al Iskan,1663,1264,862
Al Izdihar,6548,5424,4700
Al Jazirah,3375,3657,2775
Al Khalidiyah,1981,1983,1264
Al Khaleej,3291,3547,2893
Al Khuzama,7120,6967,6686
Al Mathar Ash Shamali,4459,3982,3037
Al Mahdiyah,2523,2187,1780
Al Maizilah,2576,2723,2219
Al Malaz,2500,2952,2710
Al Malqa,7139,6965,6414
Al Manar,4200,3304,2841
Al Mansurah,2650,2373,1517
Al Marwah,2596,2025,1531
Al Masif,6444,6006,5586
Al Mughrizat,5174,5438,4509
Al Muhammadiyah,6778,6521,5642
Al Murabba,3621,3549,2800
Al Mursalat,6814,7105,6535
Al Muruj,7224,6849,6568
Al Mutamarat,4180,4000,3260
Al Qadisiyah,3727,3678,2202
Al Quds,5270,5096,3839
Al Olaya,4205,4578,3438
Al Uraija,2658,3235,2381
Al Wadi,5899,6395,5402
Al Wahah,8867,8790,8371
Al Wizarat,4055,3711,2400
Al Wisham,2262,2479,1345
Al Wurud,5258,4972,4143
Al Yamamah,1581,1287,875
Al Yarmuk,6451,6020,5115
Al Yasmin,7496,7184,6528
An Nada,6122,6557,5893
An Nafal,6540,5993,5383
An Nahdah,4472,4223,3255
An Nakhil,10000,9875,9431
An Narjis,5987,5768,4881
An Nasim,3456,2871,1737
An Nadhim,2799,2615,1364
An Nuzhah,6336,5969,5104
Ar Rabi,9814,9636,9579
Ar Rabwah,4750,4891,3546
Ar Rafiah,4215,4501,3680
Ar Rahmaniyah,6398,6082,4655
Ar Raid,6772,6298,5245
Ar Rawabi,4637,4198,3550
Ar Rawdah,3317,3539,2953
Ar Rayyan,4913,4864,3570
As Saadah,3098,2826,1968
As Safa,2313,2504,1522
As Sahafah,6666,6721,5942
As Salam,3365,3598,2096
As Sulai,2272,1910,834
As Sulimaniyah,5282,5416,4783
As Suwaidi,2677,2195,1217
Ash Shifa,2187,1881,1044
At Taawun,6777,6043,5431
Az Zahrah,2575,2237,1325
Badr,2752,2442,1200
Hittin,9982,9640,8994
Dhahrat Laban,4469,3951,3059
Alawali,4250,3900,2699
Dirab,1994,1587,800
Ghirnatah,6303,5920,4552
Ulaishah,2733,2466,1500
Irqah,4842,4791,3628
Ishbiliyah,4081,4050,3296
Khashm Al An,3350,2900,1088
King Abdul Aziz,4262,3882,2482
King Abdullah,5462,5674,4250
King Fahd,5281,4884,3344
King Faisal,3200,3707,2915
King Saud University,7356,7413,6000
Laban,3914,4168,3460
Namar,2842,2953,1729
Qurtubah,6764,6413,5393
Salah Ad Din,6500,4561,4000
Shubra,3035,2617,1749
Sultanah,2369,2405,1534
Tuwaiq,4597,4683,3346
Uhud,2102,1885,732
Umm Al Hamam Al Gharbi,6221,6492,4850
Ukaz,2575,2838,1541
Utaiqah,1468,1003,733