district_name_en,Latit,Long
Ad Dar Al Baida,24.5682758,46.7962319
Ad Dhubbat,24.6775125,46.7212587
Al Andalus,24.7446217,46.7889715
Al Aqiq,24.7795671,46.6270967
Al Aziziyah,24.5926822,46.7575221
Al Badi'ah,24.6192852,46.6850215
Al Bariah,24.55364,46.9707947
Al Fayha,24.6832026,46.8107557
Al Fakhiriyah,24.6398692,46.6826067
Al Falah,24.7979974,46.7115929
Al Faruq,24.6535697,46.7744539
Al Ghadir,24.7709181,46.6560507
Al Hada,24.662654,46.6463975
Al Hamra,24.7769625,46.7526854
Al Hazm,24.5387888,46.6463975
Al Iskan,24.572859,46.8495065
Al Izdihar,24.7821805,46.7140092
Al Jazirah,24.6606656,46.8010727
Al Khalidiyah,24.6228249,46.7551037
Al Khaleej,24.7751855,46.8010727
Al Khuzama,24.7180874,46.5885175
Al Mathar Ash Shamali,24.699671,46.6632918
Al Mahdiyah,24.6523147,46.5114487
Al Maizilah,24.7890215,46.839816
Al Malaz,24.66514,46.7333436
Al Malqa,24.8042208,46.6029812
Al Manar,24.7242212,46.7986522
Al Mansurah,24.1791017,47.3359075
Al Marwah,24.5395851,46.6753627
Al Masif,24.7622555,46.6850215
Al Mughrizat,24.7665758,46.7236754
Al Muhammadiyah,24.7325921,46.6488106
Al Murabba,24.6580314,46.7067607
Al Mursalat,24.7481734,46.6922669
Al Muruj,24.7553272,46.6657058
Al Mutamarat,24.6701907,46.6874365
Al Qadisiyah,24.8202818,46.8204406
Al Quds,24.7578871,46.7526854
Al Olaya,24.6955386,46.6850215
Al Uraija,24.6264754,46.6584643
Al Wadi,24.7910645,46.6922669
Al Wahah,24.7425273,46.7164256
Al Wizarat,24.6788262,46.7115929
Al Wisham,24.6419027,46.6983054
Al Wurud,24.7239196,46.6777773
Al Yamamah,24.5947367,46.7164256
Al Yarmuk,24.8064289,46.7817122
Al Yasmin,24.8306614,46.6367462
An Nada,24.8066579,46.6826067
An Nafal,24.784131,46.6729483
An Nahdah,24.7630142,46.8204406
An Nakhil,24.7449337,46.6367462
An Narjis,24.8912881,46.6463975
An Nasim,24.71,46.82
An Nadhim,24.8595994,46.9707947
An Nuzhah,24.7596506,46.7043448
Ar Rabi,24.7899729,46.6560507
Ar Rabwah,24.694573,46.7623591
Ar Rafiah,24.6409762,46.6657058
Ar Rahmaniyah,24.7169984,46.6584643
Ar Raid,24.7068299,46.6367462
Ar Rawabi,24.6953889,46.7913915
Ar Rawdah,24.7327301,46.7623591
Ar Rayyan,24.7110201,46.7817122
As Saadah,24.6935498,46.839816
As Safa,24.6659541,46.7623591
As Sahafah,24.8020864,46.6367462
As Salam,24.7085871,46.8083348
As Sulai,24.6584098,46.8349715
As Sulimaniyah,24.7024525,46.7043448
As Suwaidi,24.5935291,46.6729483
Ash Shifa,24.5655348,46.6946822
At Taawun,24.7737343,46.6970977
Az Zahrah,24.5769026,46.6463975
Badr,24.5216931,46.7188421
Hittin,24.7661337,46.6029812
Dhahrat Laban,24.63112,46.5451516
Alawali,24.5631143,46.6078033
Dirab,24.5094082,46.6174491
Ghirnatah,24.7960376,46.7526854
Ulaishah,24.6320628,46.6874365
Irqah,24.6895242,46.5885175
Ishbiliyah,24.7908094,46.7913915
Khashm Al An,24.6851878,46.8834379
King Abdul Aziz,24.7189012,46.7236754
King Abdullah,24.7338333,46.7454314
King Fahd,24.7397319,46.6753627
King Faisal,24.7648069,46.7720347
King Saud University,24.7224191,46.6270967
Laban,24.6328171,46.6029812
Namar,24.5681797,46.6753627
Qurtubah,24.8146811,46.7381783
Salah Ad Din,24.7356063,46.6970977
Shubra,24.5775097,46.6681199
Sultanah,24.6034659,46.6874365
Tuwaiq,24.5740157,46.5451516
Uhud,24.4972348,46.6367462
Umm Al Hamam Al Gharbi,24.6879898,46.6439845
Ukaz,24.5075512,46.6657058
Utaiqah,24.5960589,46.7067607